id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46607590,Music City Getaway,230819613,Bret,,District 10,36.36133,-86.72463,Entire home/apt,214,3,46,2022-02-27,3.58,1,56,43,
28916403,Asher House 2,217285315,Kay,,District 35,36.02666,-86.96811,Private room,60,1,48,2021-10-19,1.14,2,20,16,
26496915,"The ""Hillbilly"" country retreat 30 min to downtown",132765119,Debbie,,District 35,36.14557,-86.99886,Entire home/apt,73,2,117,2022-03-13,2.60,4,115,38,
44395269,"Coco's Cabin, Pets Stay FREE, near Nashville",88197167,Donna,,District 1,36.38401,-86.85463,Entire home/apt,139,1,36,2022-03-11,4.39,3,197,36,
32341026,"Cali's Cottage, Pets Stay FREE, near Nashville",88197167,Donna,,District 1,36.38346,-86.85718,Entire home/apt,129,1,296,2022-03-18,8.07,3,233,118,
1867847,"Quiet Home  w/ Pool, Hot Tub, Fire Pit, Near Lake",9737387,Suzanne And Cliff,,District 33,36.14253,-86.53789,Entire home/apt,149,2,262,2021-11-29,2.59,1,205,34,
45104707,Mill Creek Retreat on 14 acres in Nolensville,171145983,Amy,,District 4,35.99472,-86.68713,Entire home/apt,166,3,32,2022-03-14,1.91,3,121,26,
36750124,Hermitage monthly or longer/2 people max cozy home,232237589,Dawn,,District 11,36.23056,-86.58869,Entire home/apt,54,30,3,2020-03-28,0.10,3,72,0,
51269267,Country Serenity 20 min from Downtown,357897419,Airbnb,,District 3,36.35691,-86.80934,Entire home/apt,108,30,3,2021-09-26,0.39,4,283,3,
24864617,20 minutes to Downtown Nashville w/ Fenced in Yard,174969407,Stevens Realty,,District 10,36.36372,-86.72224,Entire home/apt,129,3,81,2022-01-15,1.78,3,261,10,
48488309,Cozy Nashville cabin,391299368,Christie,,District 10,36.40477,-86.74781,Entire home/apt,75,31,4,2021-11-24,0.36,1,329,4,
21381071,"Calico Retreat, Pets Stay Free, near Nashville",88197167,Donna,,District 1,36.38372,-86.8555,Entire home/apt,149,1,121,2022-03-01,2.31,3,233,37,
44433586,Mill Creek Retreat  Guest Suite - Nolensville,171145983,Amy,,District 4,35.99457,-86.68834,Entire home/apt,100,2,39,2022-02-15,1.97,3,136,26,
41612540,The Sounds Of Music - Nashville Luxury Vacation,328098858,Joyce,,District 33,36.10661,-86.5198,Entire home/apt,950,4,21,2022-03-19,0.93,1,216,7,
53275557,"Delightful room in house/antiques, Netflix & Hulu!",333652296,Mary,,District 11,36.21392,-86.58244,Private room,43,2,2,2022-01-31,0.69,2,231,2,
571205087560412951,Camper with Cabin Brentwood,171145983,Amy,,District 31,35.99283,-86.68781,Entire home/apt,100,2,0,,,3,95,0,
44406977,Huge Beautiful Home,357897419,Airbnb,,District 10,36.33043,-86.69568,Entire home/apt,1221,2,2,2021-08-13,0.26,4,365,2,
38236529,"Weekly Rental, in  Nashville by the fire!",232237589,Dawn,,District 11,36.23137,-86.58671,Entire home/apt,90,7,1,2022-03-03,1,3,316,1,
6422,Nashville Charm,12172,Michele,,District 6,36.17315,-86.73581,Private room,40,30,674,2020-03-03,4.29,1,78,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 18,36.12523,-86.81278,Private room,60,1,281,2022-03-06,4.19,1,138,19,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard Carson,,District 18,36.13122,-86.80066,Entire home/apt,92,2,622,2022-03-17,4.74,1,14,20,
258817,ButterflyRoom-private bath- open April 3,22296,Diana,,District 12,36.16249,-86.58988,Private room,32,30,96,2019-12-14,0.77,7,359,0,
289242,"MorningstarHouse, monthly room- open sept",22296,Diana,,District 12,36.16102,-86.59207,Private room,34,30,76,2019-01-12,0.61,7,323,0,
319705,"SuperSweetSTUDIO, jacuzzi, monthly, open Jan 1",22296,Diana,,District 12,36.16296,-86.59187,Private room,39,30,48,2020-07-03,0.39,7,330,0,
329997,A+ Cottage & private courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,105,2,1132,2022-03-09,9.22,7,60,106,
340081,"MorningstarHouse, monthly single room- open soon!",22296,Diana,,District 12,36.16128,-86.58986,Private room,34,30,77,2020-08-31,0.63,7,323,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16492,-86.7501,Private room,94,1,280,2022-03-06,2.35,1,271,46,
421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,90,2,913,2022-03-09,7.66,7,13,86,
430052,"Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,88,2,907,2022-03-10,7.62,7,13,91,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths Hot tub & Patio!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,321,2,450,2022-03-11,3.77,7,103,34,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15478,-86.64912,Private room,90,2,27,2015-06-29,0.25,1,78,0,
632636,Admire the Skyline from the Rooftop Terrace at a Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,163,2,378,2022-03-04,3.23,7,24,66,
645985,Serenity Haven,1515903,Karen,,District 6,36.18565,-86.71511,Private room,28,30,51,2022-02-25,0.44,2,99,4,
648088,Heart of Music Row  Private Suite (600 sq FT),3250769,Robyn,,District 19,36.1447,-86.79014,Private room,130,2,404,2021-11-23,3.49,1,308,25,
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17242,-86.73742,Entire home/apt,142,3,285,2022-03-13,2.54,1,271,21,
681880,Luxurious Rustic Cozy Guesthouse,3471162,Tiffany,,District 7,36.21628,-86.70935,Entire home/apt,90,1,565,2022-03-12,4.91,1,1,5,
747429,Downtown Great Getaway,2066370,Lisa,,District 21,36.18276,-86.80296,Entire home/apt,325,2,62,2021-08-22,0.54,2,212,4,
914787,4 BEDS ★WALK to Downtown Nashville ★Pool & Parking,4910520,Amy,,District 19,36.1754,-86.78193,Entire home/apt,223,1,290,2022-03-15,2.64,12,246,17,
980344,Downstairs/Midweek only Designer Home n Music City,441439,Angela,,District 24,36.144,-86.82827,Private room,250,2,1,2018-03-21,0.02,4,39,0,
1006989,Private Carriage House,1896384,John And Mike,,District 6,36.17509,-86.73581,Entire home/apt,98,2,511,2022-03-12,4.68,1,92,63,
